model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
 I20,2018,79000.0,Manual,3920,Petrol,150,46.3,0.0
 Tucson,2017,118000.0,Manual,21875,Petrol,145,38.7,1.6
 I10,2016,40000.0,Manual,27465,Petrol,20,60.1,1.0
 I10,2019,58333.333333333336,Manual,4920,Petrol,145,60.1,1.0
 I30,2016,57333.333333333336,Manual,18577,Petrol,145,48.7,1.4
 IX20,2013,37000.0,Manual,42320,Petrol,145,45.6,1.4
 Tucson,2017,101333.33333333333,Manual,23310,Diesel,30,61.7,0.0
 Tucson,2019,101333.33333333333,Manual,22397,Petrol,150,34.9,0.0
 Tucson,2019,110666.66666666667,Manual,10066,Petrol,150,34.9,0.0
 I10,2018,56333.333333333336,Manual,13148,Petrol,150,60.1,0.0
 I800,2019,125000.0,Manual,7691,Diesel,150,31.7,0.0
 Tucson,2016,78666.66666666667,Manual,21898,Diesel,30,61.7,1.7
 I10,2016,40000.0,Manual,24740,Petrol,20,60.1,1.0
 I10,2014,33666.666666666664,Manual,20127,Petrol,20,60.1,1.0
 I800,2018,119333.33333333333,Automatic,34103,Diesel,145,33.6,2.5
 IX20,2016,57333.333333333336,Manual,21152,Diesel,30,64.2,1.6
 I10,2017,51333.333333333336,Manual,15618,Petrol,145,60.1,1.0
 I10,2017,49333.333333333336,Manual,15594,Petrol,20,60.1,0.0
 I20,2015,46000.0,Manual,28123,Petrol,30,56.5,0.0
 Ioniq,2019,139333.33333333334,Automatic,1963,Petrol,135,78.5,1.6
 I10,2015,46000.0,Manual,13637,Petrol,30,57.6,0.0
 Tucson,2017,106666.66666666667,Automatic,7457,Diesel,125,57.6,0.0
 I20,2017,57333.333333333336,Manual,16708,Petrol,145,58.9,0.0
 Tucson,2017,84000.0,Manual,2236,Petrol,160,44.8,1.6
 I30,2018,62666.666666666664,Manual,21859,Petrol,145,56.5,1.0
 Tucson,2016,74666.66666666667,Manual,31480,Diesel,30,61.7,1.7
 I10,2017,47000.0,Manual,31696,Petrol,145,57.7,1.2
 I10,2017,54333.333333333336,Manual,16636,Petrol,145,60.1,0.0
 I20,2017,58333.333333333336,Manual,19398,Petrol,30,58.9,0.0
 I30,2016,56333.333333333336,Manual,18257,Diesel,0,78.4,1.6
 IX35,2014,62666.666666666664,Manual,35541,Diesel,145,53.3,1.7
 I10,2015,42000.0,Manual,22211,Petrol,20,60.1,1.0
 I30,2018,78000.0,Automatic,35097,Petrol,145,51.4,1.4
 I40,2016,72333.33333333333,Automatic,27712,Diesel,125,56.5,1.7
 IX20,2016,44000.0,Manual,27696,Petrol,125,50.4,1.4
 I10,2015,40000.0,Manual,12731,Petrol,30,57.6,1.2
 Tucson,2018,88333.33333333333,Manual,20443,Petrol,145,44.8,1.6
 I10,2014,35000.0,Manual,40248,Petrol,20,60.1,1.0
 I10,2017,52333.333333333336,Manual,21321,Petrol,145,57.7,1.2
 IX35,2011,44666.666666666664,Manual,72436,Diesel,200,47.9,2.0
 I10,2018,64666.666666666664,Automatic,8418,Petrol,145,47.9,1.2
 IX35,2012,32000.0,Manual,119050,Diesel,150,48.7,1.7
 I30,2018,60333.333333333336,Manual,15804,Petrol,145,57.7,1.0
 I800,2017,105333.33333333333,Automatic,44749,Diesel,145,33.6,2.5
 I10,2016,37000.0,Manual,23176,Petrol,30,57.6,1.2
 I10,2018,57333.333333333336,Automatic,28889,Petrol,145,47.9,1.2
 I20,2019,81000.0,Manual,3300,Petrol,145,46.3,1.2
 I10,2018,43000.0,Manual,31738,Petrol,145,60.1,1.0
 I20,2019,80000.0,Manual,5409,Petrol,150,46.3,1.2
 Tucson,2016,85000.0,Manual,25071,Diesel,30,61.7,1.7
 Tucson,2018,98000.0,Manual,17427,Petrol,150,44.8,1.6
 Tucson,2019,109666.66666666667,Manual,8000,Petrol,150,34.9,1.6
 Tucson,2016,82000.0,Manual,26804,Diesel,30,61.7,1.7
 I10,2014,41000.0,Manual,31090,Petrol,30,57.6,0.0
 Veloster,2012,40333.333333333336,Manual,60200,Petrol,165,43.5,1.6
 Santa Fe,2014,110000.0,Automatic,37006,Diesel,265,41.5,2.2
 Tucson,2019,108666.66666666667,Manual,12254,Petrol,150,34.9,1.6
 I30,2016,54333.333333333336,Manual,17350,Petrol,145,48.7,1.4
 Tucson,2017,99000.0,Semi-Auto,27299,Diesel,145,57.6,1.7
 Tucson,2017,91666.66666666667,Manual,21119,Diesel,30,61.7,1.7
 Tucson,2017,88333.33333333333,Manual,36750,Diesel,30,61.7,1.7
 Tucson,2016,83000.0,Manual,37350,Diesel,125,58.9,2.0
 Tucson,2018,93666.66666666667,Manual,29413,Petrol,150,44.8,1.6
 Tucson,2017,89333.33333333333,Manual,33808,Diesel,30,61.7,1.7
 IX35,2015,59333.333333333336,Manual,26564,Petrol,200,41.5,0.0
 IX35,2014,53333.333333333336,Manual,54304,Diesel,145,53.3,0.0
 I20,2016,46000.0,Manual,41496,Petrol,30,56.5,0.0
 IX20,2014,40000.0,Manual,38601,Petrol,125,50.4,0.0
 I10,2017,47000.0,Manual,31232,Petrol,145,57.7,0.0
 I20,2019,81000.0,Manual,7061,Petrol,145,46.3,1.2
 I30,2015,53333.333333333336,Manual,29980,Diesel,0,78.4,1.6
 I20,2017,54333.333333333336,Manual,44120,Petrol,150,62.8,1.0
 IX35,2011,50000.0,Automatic,48528,Diesel,300,39.2,2.0
 Tucson,2016,95666.66666666667,Automatic,20645,Diesel,205,47.1,2.0
 Santa Fe,2017,148000.0,Automatic,20599,Diesel,150,42.8,2.2
 I10,2012,23666.666666666668,Manual,56582,Petrol,20,61.4,1.2
 I30,2015,50000.0,Manual,43022,Diesel,0,78.4,1.6
 Tucson,2016,83000.0,Manual,37688,Diesel,30,61.7,1.7
 Tucson,2016,105333.33333333333,Automatic,12163,Diesel,200,46.3,2.0
 I30,2015,55333.333333333336,Manual,16412,Petrol,145,48.7,1.4
 Kona,2019,96333.33333333333,Manual,6874,Petrol,145,44.1,1.0
 IX35,2013,47000.0,Manual,50998,Diesel,145,48.7,1.7
 I10,2016,37000.0,Manual,41883,Petrol,30,57.6,1.2
 I30,2018,84000.0,Manual,5404,Diesel,145,74.3,1.6
 I800,2018,125333.33333333333,Manual,36815,Diesel,145,28.0,2.5
 I10,2014,33666.666666666664,Manual,13840,Petrol,20,60.1,1.0
 I30,2016,48000.0,Manual,56693,Diesel,0,78.4,1.6
 IX20,2015,40000.0,Manual,57819,Petrol,125,50.4,1.4
 Kona,2019,104666.66666666667,Manual,5630,Petrol,145,44.1,1.0
 I20,2017,57333.333333333336,Manual,19685,Petrol,145,58.9,1.2
 Tucson,2017,95666.66666666667,Manual,17539,Diesel,30,61.7,1.7
 I10,2017,47000.0,Manual,39968,Petrol,145,57.7,1.2
 Tucson,2017,98000.0,Manual,21679,Diesel,30,61.7,1.7
 Tucson,2017,102333.33333333333,Manual,9146,Diesel,150,61.7,1.7
 I800,2019,156000.0,Automatic,1477,Diesel,145,31.7,2.5
 Kona,2018,84000.0,Manual,12834,Petrol,145,52.3,1.0
 I40,2017,62666.666666666664,Manual,59626,Diesel,150,67.3,1.7
 IX20,2016,51333.333333333336,Manual,28355,Petrol,125,50.4,1.4
 Kona,2018,108666.66666666667,Manual,23400,Petrol,145,52.3,1.0
 IX35,2015,60666.666666666664,Manual,46000,Diesel,145,53.3,1.7
 I30,2018,60333.333333333336,Manual,24070,Petrol,145,57.7,1.0
 I30,2019,101333.33333333333,Manual,3010,Petrol,145,41.5,1.4
 I30,2019,101333.33333333333,Manual,3303,Petrol,145,41.5,1.4
 Kona,2019,154333.33333333334,Automatic,1391,Hybrid,135,52.3,1.6
 I20,2017,60333.333333333336,Manual,16900,Petrol,145,55.4,1.2
 I40,2016,70333.33333333333,Manual,29347,Diesel,30,65.7,1.7
 I20,2016,58333.333333333336,Manual,17206,Petrol,30,58.9,1.0
 I10,2015,37000.0,Manual,8116,Petrol,20,60.1,1.0
 IX20,2015,49333.333333333336,Manual,20077,Petrol,125,50.4,1.4
 I20,2017,54333.333333333336,Manual,28502,Petrol,145,55.4,1.2
 I20,2015,45000.0,Manual,23656,Petrol,30,55.4,1.2
 I20,2015,41000.0,Manual,43795,Petrol,125,51.4,1.4
 I20,2017,58333.333333333336,Manual,9392,Petrol,30,58.9,1.2
 I30,2019,165000.0,Manual,1437,Petrol,145,34.0,2.0
 Kona,2019,101333.33333333333,Manual,2383,Petrol,145,44.1,1.0
 Santa Fe,2019,273333.3333333333,Semi-Auto,4133,Diesel,145,39.2,2.2
 Santa Fe,2019,273333.3333333333,Semi-Auto,4956,Diesel,145,39.2,2.2
 Tucson,2019,113000.0,Manual,3454,Petrol,145,35.3,1.6
 I30,2019,101333.33333333333,Manual,3001,Petrol,145,41.5,1.4
 Tucson,2019,108666.66666666667,Manual,14877,Petrol,150,34.9,1.6
 Tucson,2019,133000.0,Semi-Auto,3649,Petrol,150,36.2,1.6
 Tucson,2017,102333.33333333333,Manual,12811,Diesel,150,61.7,1.7
 Tucson,2017,107666.66666666667,Semi-Auto,19066,Diesel,150,57.6,1.7
 Tucson,2017,113000.0,Semi-Auto,11231,Diesel,150,57.6,1.7
 I10,2017,44000.0,Manual,23692,Petrol,20,60.1,1.0
 Santa Fe,2017,125333.33333333333,Manual,48034,Diesel,205,47.1,2.2
 Tucson,2016,80000.0,Manual,41953,Diesel,30,61.7,1.7
 IX20,2014,38333.333333333336,Manual,42386,Diesel,30,64.2,1.6
 Tucson,2018,116000.0,Manual,12875,Petrol,145,38.7,1.6
 Santa Fe,2015,120666.66666666667,Semi-Auto,38514,Diesel,265,42.2,2.2
 Tucson,2016,70333.33333333333,Manual,20258,Petrol,160,44.8,1.6
 Tucson,2017,113000.0,Semi-Auto,12150,Diesel,145,57.6,1.7
 Tucson,2016,119333.33333333333,Automatic,14884,Diesel,235,43.5,2.0
 Tucson,2017,81000.0,Manual,35213,Diesel,145,61.7,1.7
 Tucson,2018,105333.33333333333,Manual,7482,Petrol,145,44.8,1.6
 Tucson,2019,108666.66666666667,Manual,12077,Petrol,145,34.9,1.6
 Tucson,2017,94666.66666666667,Manual,5863,Petrol,160,44.8,1.6
 I20,2018,67666.66666666667,Automatic,20796,Petrol,145,45.6,1.4
 I10,2017,50333.333333333336,Manual,8788,Petrol,145,60.1,1.0
 Tucson,2019,113000.0,Manual,17841,Petrol,150,34.9,1.6
 I30,2015,54333.333333333336,Manual,21701,Petrol,150,48.7,1.4
 Tucson,2019,108666.66666666667,Manual,15751,Petrol,150,34.9,1.6
 I20,2016,51333.333333333336,Manual,17499,Petrol,30,55.4,1.2
 Kona,2019,101333.33333333333,Manual,6717,Petrol,150,44.1,1.0
 Ioniq,2019,148000.0,Automatic,5530,Hybrid,140,62.8,1.6
 Kona,2019,148000.0,Automatic,4672,Hybrid,140,52.3,1.6
 I30,2017,73333.33333333333,Manual,17609,Diesel,145,72.4,1.6
 Santa Fe,2018,171666.66666666666,Manual,13436,Diesel,145,47.1,2.2
 I10,2020,106666.66666666667,Manual,100,Petrol,145,51.4,1.2
 I20,2020,106666.66666666667,Manual,100,Petrol,145,46.3,1.2
 Tucson,2016,73333.33333333333,Manual,53963,Diesel,30,61.7,1.7
 I20,2016,46000.0,Manual,51552,Petrol,30,56.5,1.2
 Santa Fe,2017,151333.33333333334,Semi-Auto,38452,Diesel,150,42.8,2.2
 I10,2017,47000.0,Manual,20200,Petrol,145,60.1,1.0
 I10,2019,67666.66666666667,Manual,5223,Petrol,150,57.6,1.2
 Ioniq,2019,161666.66666666666,Automatic,2844,Hybrid,140,1.1,1.6
 Tucson,2016,85000.0,Manual,35251,Diesel,30,61.7,1.7
 I800,2019,156000.0,Manual,7761,Diesel,145,31.7,2.5
 I40,2015,59666.666666666664,Manual,34572,Diesel,30,65.7,1.7
 Tucson,2017,105333.33333333333,Manual,42858,Diesel,205,47.9,2.0
 Tucson,2018,98000.0,Manual,15563,Diesel,150,61.7,1.7
 I40,2017,81000.0,Manual,17393,Diesel,145,65.7,1.7
 I30,2017,75666.66666666667,Manual,19273,Diesel,145,74.3,1.6
 I30,2017,73333.33333333333,Manual,15359,Diesel,145,72.4,1.6
 I20,2019,64666.666666666664,Manual,10758,Petrol,145,46.3,1.2
 I20,2019,70666.66666666667,Manual,13484,Petrol,145,46.3,1.2
 I30,2017,62666.666666666664,Manual,18266,Diesel,145,72.4,1.6
 Tucson,2016,94666.66666666667,Semi-Auto,23865,Diesel,125,57.6,1.7
 Tucson,2017,95666.66666666667,Manual,31739,Diesel,145,61.7,1.7
 Tucson,2017,102333.33333333333,Semi-Auto,17754,Diesel,125,57.6,1.7
 I10,2014,33666.666666666664,Manual,23928,Petrol,20,60.1,1.0
 Tucson,2016,73333.33333333333,Manual,40297,Diesel,30,61.7,1.7
 IX35,2015,53333.333333333336,Manual,59238,Diesel,145,54.3,1.7
 I10,2017,50333.333333333336,Manual,25203,Petrol,30,57.7,1.2
 I800,2017,125333.33333333333,Automatic,35154,Diesel,325,33.6,2.5
 IX35,2015,50000.0,Manual,59817,Diesel,145,54.3,1.7
 IX35,2015,51000.0,Manual,54783,Diesel,150,53.3,1.7
 I20,2019,70666.66666666667,Manual,11166,Petrol,145,46.3,1.2
 Tucson,2016,70333.33333333333,Manual,40191,Diesel,30,61.7,1.7
 I20,2017,57333.333333333336,Manual,12588,Petrol,145,55.4,1.2
 Santa Fe,2015,99333.33333333333,Manual,54963,Diesel,200,46.3,2.2
 Tucson,2016,76666.66666666667,Manual,35224,Diesel,30,61.7,1.7
 I20,2017,60333.333333333336,Manual,19229,Petrol,145,62.8,1.0
 Santa Fe,2013,86333.33333333333,Semi-Auto,72854,Diesel,260,41.5,2.2
 Santa Fe,2016,130000.0,Semi-Auto,22404,Diesel,235,42.2,2.2
 Kona,2018,88000.0,Manual,7910,Petrol,145,52.3,1.0
 IX35,2014,47000.0,Manual,71289,Diesel,145,53.3,1.7
 I20,2013,24666.666666666668,Manual,45461,Petrol,30,57.6,1.2
 Tucson,2016,76666.66666666667,Manual,40457,Diesel,30,61.7,1.7
 Tucson,2019,108666.66666666667,Manual,23773,Petrol,145,34.9,1.6
 Kona,2019,96333.33333333333,Manual,5034,Petrol,145,44.1,1.0
 Tucson,2016,101000.0,Manual,35030,Diesel,145,54.3,2.0
 Tucson,2017,102333.33333333333,Manual,19400,Diesel,30,61.7,1.7
 I20,2016,55333.333333333336,Automatic,28560,Petrol,160,42.2,1.4
 Tucson,2016,78666.66666666667,Manual,35153,Diesel,30,61.7,1.7
 I20,2017,56333.333333333336,Manual,18047,Petrol,30,55.4,1.2
 Tucson,2017,94666.66666666667,Manual,35003,Diesel,30,61.7,1.7
 Tucson,2019,108666.66666666667,Manual,11757,Petrol,145,34.9,1.6
 I40,2016,61666.666666666664,Manual,38259,Diesel,30,65.7,1.7
 Tucson,2017,91666.66666666667,Manual,40262,Diesel,145,61.7,1.7
 Ioniq,2018,121333.33333333333,Automatic,19348,Hybrid,135,78.5,1.6
 Tucson,2017,87333.33333333333,Manual,12239,Diesel,30,61.7,1.7
 Tucson,2016,89333.33333333333,Semi-Auto,30551,Diesel,125,57.6,1.7
 I30,2015,41666.666666666664,Manual,40237,Diesel,0,78.4,1.6
 Tucson,2019,108666.66666666667,Manual,11915,Petrol,150,34.9,1.6
 I10,2017,44000.0,Manual,37254,Petrol,20,60.1,1.0
 Tucson,2016,93666.66666666667,Manual,13254,Diesel,145,54.3,2.0
 IX20,2016,49333.333333333336,Manual,20760,Petrol,125,50.4,1.4
 Tucson,2017,110666.66666666667,Semi-Auto,7015,Diesel,145,57.6,1.7
 Tucson,2018,89333.33333333333,Manual,14183,Petrol,145,44.8,1.6
 Tucson,2015,66000.0,Manual,69085,Diesel,30,61.7,1.7
 I40,2014,48000.0,Manual,51515,Diesel,30,62.8,1.7
 Tucson,2016,80000.0,Manual,15959,Diesel,30,61.7,1.7
 Kona,2019,96333.33333333333,Manual,10757,Petrol,145,44.1,1.0
 Kona,2019,96333.33333333333,Manual,9829,Petrol,145,44.1,1.0
 I800,2018,125333.33333333333,Manual,37324,Diesel,145,28.0,2.5
 I30,2018,77000.0,Manual,14655,Petrol,145,56.5,1.0
 I30,2018,60333.333333333336,Manual,20596,Petrol,145,57.7,1.0
 I30,2018,84000.0,Manual,12486,Diesel,145,74.3,1.6
 I20,2014,30666.666666666668,Manual,43444,Petrol,30,57.6,1.2
 Tucson,2017,102333.33333333333,Manual,37587,Diesel,145,54.3,2.0
 Tucson,2017,98000.0,Manual,23643,Diesel,145,61.7,1.7
 Tucson,2017,105333.33333333333,Semi-Auto,13094,Diesel,125,57.6,1.7
 Tucson,2018,108666.66666666667,Manual,4411,Petrol,145,34.9,1.6
 Kona,2019,104666.66666666667,Manual,10,Petrol,145,44.1,1.0
 IX35,2013,44666.666666666664,Manual,80465,Diesel,145,53.3,1.7
 Tucson,2019,108666.66666666667,Manual,17948,Petrol,145,34.9,1.6
 Kona,2019,104666.66666666667,Manual,10,Petrol,145,44.1,1.0
 I30,2019,101333.33333333333,Manual,3292,Petrol,145,41.5,1.4
 Tucson,2016,74666.66666666667,Manual,29051,Diesel,30,61.7,1.7
 I30,2013,38333.333333333336,Manual,59039,Diesel,0,74.3,1.6
 I10,2016,37000.0,Manual,20851,Petrol,20,60.1,1.0
 I20,2015,45000.0,Manual,35921,Petrol,30,55.4,1.2
 I30,2017,68000.0,Manual,43717,Diesel,20,72.4,1.6
 I30,2018,74666.66666666667,Manual,14927,Petrol,145,56.5,1.0
 I40,2016,61666.666666666664,Manual,40134,Diesel,30,65.7,1.7
 Kona,2019,104666.66666666667,Manual,10,Petrol,145,44.1,1.0
 Kona,2018,91333.33333333333,Manual,12884,Petrol,145,44.1,1.0
 Kona,2018,92333.33333333333,Manual,9616,Petrol,145,44.1,1.0
 I10,2017,45000.0,Manual,19419,Petrol,145,60.1,1.0
 Kona,2019,103666.66666666667,Manual,879,Petrol,145,44.1,1.0
 IX20,2017,67666.66666666667,Manual,9604,Petrol,145,50.4,1.4
 I10,2014,33666.666666666664,Manual,17904,Petrol,20,60.1,1.0
 Tucson,2016,72333.33333333333,Manual,24400,Petrol,160,44.8,1.6
 IX20,2017,60333.333333333336,Manual,22861,Petrol,145,50.4,1.4
 Santa Fe,2015,103000.0,Manual,25770,Diesel,200,46.3,2.2
 I20,2017,52333.333333333336,Manual,14814,Petrol,150,55.4,1.2
 Kona,2019,94333.33333333333,Manual,4396,Petrol,145,44.1,1.0
 I10,2017,44000.0,Manual,26222,Petrol,145,60.1,1.0
 Tucson,2015,76666.66666666667,Manual,27256,Diesel,30,61.7,1.7
 I30,2016,52333.333333333336,Manual,20251,Petrol,125,50.4,1.4
 IX20,2016,49333.333333333336,Manual,18562,Petrol,125,50.4,1.4
 Tucson,2017,98000.0,Manual,19372,Diesel,150,61.7,1.7
 I10,2017,44000.0,Manual,23455,Petrol,20,60.1,1.0
 Tucson,2019,168333.33333333334,Manual,6491,Hybrid,145,47.9,1.6
 Kona,2018,88000.0,Manual,11458,Petrol,145,52.3,1.0
 I20,2017,54333.333333333336,Manual,35934,Petrol,145,58.9,1.2
 I800,2018,120666.66666666667,Automatic,34889,Diesel,145,28.0,2.5
 I800,2018,120666.66666666667,Manual,37485,Diesel,145,28.0,2.5
 I30,2016,57333.333333333336,Manual,32025,Diesel,0,78.4,1.6
 Tucson,2018,102333.33333333333,Manual,23513,Petrol,145,34.9,1.6
 Tucson,2017,91666.66666666667,Manual,33461,Diesel,30,61.7,1.7
 I30,2018,64666.666666666664,Manual,11462,Petrol,145,57.7,1.0
 I30,2018,62666.666666666664,Manual,16259,Petrol,145,57.7,1.0
 I30,2019,101333.33333333333,Manual,3241,Petrol,145,41.5,1.4
 I800,2019,164333.33333333334,Manual,2573,Diesel,145,31.7,2.5
 I800,2019,140666.66666666666,Manual,17972,Diesel,145,28.0,2.5
 Tucson,2018,107666.66666666667,Manual,14429,Petrol,145,34.9,1.6
 I10,2017,44000.0,Manual,37864,Petrol,145,60.1,1.0
 I20,2019,84000.0,Manual,1023,Petrol,145,46.3,1.2
 I10,2017,44000.0,Manual,21070,Petrol,145,60.1,1.0
 Kona,2018,84000.0,Manual,23001,Petrol,145,52.3,1.0
 Kona,2018,88000.0,Manual,9133,Petrol,145,52.3,1.0
 Ioniq,2019,113000.0,Automatic,16280,Hybrid,135,78.5,1.6
 Ioniq,2019,116000.0,Automatic,4004,Hybrid,135,78.5,1.6
 Kona,2018,94333.33333333333,Manual,11893,Petrol,145,44.1,1.0
 I800,2019,168000.0,Manual,2804,Diesel,145,28.0,2.5
 Kona,2018,92333.33333333333,Manual,14441,Petrol,145,44.1,1.0
 I20,2016,51333.333333333336,Manual,13643,Petrol,20,62.8,1.0
 I20,2017,64666.666666666664,Manual,1862,Petrol,150,55.4,1.2
 Tucson,2016,73333.33333333333,Manual,19312,Diesel,30,61.7,1.7
 I30,2019,91666.66666666667,Manual,14121,Diesel,145,58.9,1.6
 I30,2018,77000.0,Manual,11150,Petrol,145,56.5,1.0
 I30,2018,84000.0,Manual,8337,Diesel,145,74.3,1.6
 Tucson,2016,95666.66666666667,Manual,25044,Diesel,125,58.9,2.0
 Santa Fe,2016,117000.0,Manual,44905,Diesel,200,47.1,2.2
 Tucson,2018,126666.66666666667,Manual,7874,Diesel,145,48.7,1.6
 I10,2018,47000.0,Manual,24152,Petrol,145,60.1,1.0
 Santa Fe,2013,81666.66666666667,Semi-Auto,59701,Diesel,265,41.5,2.2
 I20,2015,48333.333333333336,Manual,23001,Petrol,30,55.4,1.2
 Tucson,2019,113000.0,Manual,11751,Petrol,145,34.9,1.6
 IX20,2016,51333.333333333336,Manual,16407,Petrol,125,50.4,1.4
 Tucson,2016,76666.66666666667,Manual,36512,Diesel,30,61.7,1.7
 I10,2017,47000.0,Manual,21962,Petrol,145,60.1,1.0
 Tucson,2016,85000.0,Manual,23257,Diesel,30,61.7,1.7
 I30,2019,101333.33333333333,Manual,3398,Petrol,145,41.5,1.4
 Kona,2018,91333.33333333333,Manual,6922,Petrol,145,44.1,1.0
 I30,2015,49333.333333333336,Manual,25399,Petrol,145,47.1,1.4
 I20,2016,45000.0,Manual,19230,Petrol,30,55.4,1.2
 Kona,2019,94333.33333333333,Manual,8777,Petrol,145,44.1,1.0
 Tucson,2018,102333.33333333333,Manual,37305,Petrol,145,34.9,1.6
 Kona,2018,96333.33333333333,Manual,8795,Petrol,145,44.1,1.0
 Ioniq,2018,121333.33333333333,Automatic,13884,Hybrid,135,78.5,1.6
 Ioniq,2018,121333.33333333333,Automatic,6443,Hybrid,135,78.5,1.6
 I10,2017,54333.333333333336,Manual,25878,Petrol,145,57.7,1.2
 Tucson,2017,108666.66666666667,Manual,26826,Diesel,30,61.4,1.7
 Tucson,2019,108666.66666666667,Manual,17325,Petrol,145,34.9,1.6
 I30,2015,42666.666666666664,Manual,64365,Diesel,0,78.4,1.6
 Tucson,2019,108666.66666666667,Manual,17865,Petrol,145,34.9,1.6
 I800,2018,125333.33333333333,Manual,38520,Diesel,145,28.0,2.5
 Tucson,2016,73333.33333333333,Manual,63104,Diesel,30,61.7,1.7
 Tucson,2016,80000.0,Manual,31054,Diesel,30,61.7,1.7
 Santa Fe,2013,88666.66666666667,Automatic,38602,Diesel,260,41.5,2.2
 I30,2016,51000.0,Manual,50167,Diesel,0,78.4,1.6
 I800,2018,120666.66666666667,Manual,36164,Diesel,145,28.0,2.5
 I800,2018,120666.66666666667,Manual,36759,Diesel,145,28.0,2.5
 I20,2017,54333.333333333336,Manual,21451,Petrol,145,55.4,1.2
 I30,2018,74666.66666666667,Manual,14147,Petrol,145,56.5,1.0
