Name,Condition,Price,Location,Link,Description,Car_code,Year of manufacture,Condition,Origin,Body type,Engine,Exterior color,Interior color,Seats,Doors,Mileage
Mercedes Benz GLE Class GLE 400 4Matic Exclusive - 2016, Used car,1 Billion VND 530 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-gle_class-gle-400-4matic-exclusive-2016-5410534," *Imported car, Black color, Petrol engine 3.0 L, Automatic transmission, đã đi 78,000 km ... ",Code: 5410534,2016.0,Used car,Imported,SUV,Petrol  3.0 L,Black,Brown,5 seats,5 doors,"78,000 Km"
Toyota Land Cruiser 3.5 V6 - 2023, New car,4 Billion VND 750 Million VND,Hanoi,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-5195228," *Imported car, White color, Petrol engine 3.4 L, Automatic transmission ... ",Code: 5195228,2023.0,New car,Imported,SUV,Petrol  3.4 L,White,Kem,7 seats,5 doors,
MG ZS Luxury 1.5 AT 2WD - 2023, New car,520 Million VND,Hanoi,https://bonbanh.com/xe-mg-zs-luxury-1.5-at-2wd-2023-5363052," *Imported car, White color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5363052,2023.0,New car,Imported,Crossover,Petrol  1.5 L,White,Black,5 seats,5 doors,
Ford Transit Tiêu chuẩn - 2023, New car,764 Million VND,Hanoi,https://bonbanh.com/xe-ford-transit-tieu-chuan-2023-2978604," *Domestic assembly car, Silver color, máy dầu 2.2 L, Manual transmission ... ",Code: 2978604,2023.0,New car,Assembled domestically,Van/Minivan,Dầu  2.2 L,Silver,Kem,16 chỗ,4 cửa,
Lexus ES 300h - 2024, New car,3 Billion VND 140 Million VND,Hanoi,https://bonbanh.com/xe-lexus-es-300h-2024-5411055," *Imported car, White color, Hybrid car 2.5 L, Automatic transmission ... ",Code: 5411055,2024.0,New car,Imported,Sedan,Hybrid  2.5 L,White,Brown,5 seats,4 cửa,
Mitsubishi Xpander Premium 1.5 AT - 2023, New car,578 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2023-5239277," *Imported car, White color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5239277,2023.0,New car,Imported,SUV,Petrol  1.5 L,White,Black,7 seats,5 doors,
Toyota Land Cruiser 3.5 V6 - 2023, New car,4 Billion VND 286 Million VND,Hanoi,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-5355576," *Imported car, Black color, Petrol engine 3.4 L, Automatic transmission ... ",Code: 5355576,2023.0,New car,Imported,SUV,Petrol  3.4 L,Black,Kem,7 seats,5 doors,
Toyota Innova 2.0 Venturer - 2018, Used car,549 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-innova-2.0-venturer-2018-5434597," *Domestic assembly car, Black color, Petrol engine 2.0 L, Automatic transmission, đã đi 110,000 km ... ",Code: 5434597,2018.0,Used car,Assembled domestically,Crossover,Petrol  2.0 L,Black,Black,8 chỗ,5 doors,"110,000 Km"
Porsche Cayenne S - 2010, Used car,940 Million VND,Thái Nguyên,https://bonbanh.com/xe-porsche-cayenne-s-2010-5414770," *Imported car, White color, Petrol engine 4.8 L, Automatic transmission, đã đi 140,000 km ... ",Code: 5414770,2010.0,Used car,Imported,SUV,Petrol  4.8 L,White,Vàng,5 seats,5 doors,"140,000 Km"
Lexus ES 250 F Sport - 2023, New car,2 Billion VND 710 Million VND,Hanoi,https://bonbanh.com/xe-lexus-es-250-f-sport-2023-5240220," *Imported car, màu xanh, Petrol engine 2.5 L, Automatic transmission ... ",Code: 5240220,2023.0,New car,Imported,Sedan,Petrol  2.5 L,Xanh,Brown,5 seats,4 cửa,
Toyota Corolla altis 2.0V - 2011, Used car,389 Million VND,Ninh Bình,https://bonbanh.com/xe-toyota-corolla_altis-2.0v-2011-5443802," *Domestic assembly car, Black color, Petrol engine 2.0 L, Automatic transmission, đã đi 90,000 km ... ",Code: 5443802,2011.0,Used car,Assembled domestically,Sedan,Petrol  2.0 L,Black,-,5 seats,4 cửa,"90,000 Km"
Toyota Corolla Cross 1.8V - 2024, New car,836 Million VND,Hanoi,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2024-5387037," *Imported car, White color, Petrol engine 1.8 L, Automatic transmission ... ",Code: 5387037,2024.0,New car,Imported,SUV,Petrol  1.8 L,White,Black,5 seats,5 doors,
BMW 5 Series 530i M Sport - 2022, New car,2 Billion VND 769 Million VND,Hanoi,https://bonbanh.com/xe-bmw-5_series-530i-m-sport-2022-4872216," *Imported car, màu xám, Petrol engine 2.0 L, Automatic transmission ... ",Code: 4872216,2022.0,New car,Imported,Sedan,Petrol  2.0 L,Xám,Black,5 seats,4 cửa,
Mazda CX5 Luxury 2.0 AT - 2023, New car,799 Million VND,Thanh Hóa,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2023-5408481," *Domestic assembly car, Red color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 5408481,2023.0,New car,Assembled domestically,SUV,Petrol  2.0 L,Red,-,5 seats,5 doors,
Mercedes Benz V class V220d CDI - 2017, Used car,1 Billion VND 290 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-v_class-v220d-cdi-2017-5422991," *Imported car, White color, máy dầu 2.1 L, Automatic transmission, đã đi 50,000 km ... ",Code: 5422991,2017.0,Used car,Imported,Van/Minivan,Dầu  2.1 L,White,Black,7 seats,5 doors,"50,000 Km"
Ford Ranger Raptor 2.0L 4x4 AT - 2022, Used car,990 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2022-5426894," *Imported car, màu xám, máy dầu 2.0 L, Automatic transmission, đã đi 38,500 km ... ",Code: 5426894,2022.0,Used car,Imported,Bán tải / Pickup,Dầu  2.0 L,Xám,Black,5 seats,4 cửa,"38,500 Km"
Ford Everest Titanium 2.0L 4x2 AT - 2023, New car,1 Billion VND 224 Million VND,Hanoi,https://bonbanh.com/xe-ford-everest-titanium-2.0l-4x2-at-2023-5198423," *Imported car, Black color, máy dầu 2.0 L, Automatic transmission ... ",Code: 5198423,2023.0,New car,Imported,SUV,Dầu  2.0 L,Black,Black,7 seats,5 doors,
Toyota Innova 2.0G - 2014, Used car,385 Million VND,Hanoi,https://bonbanh.com/xe-toyota-innova-2.0g-2014-5338845," *Domestic assembly car, màu xám, Petrol engine 2.0 L, Automatic transmission, đã đi 100,000 km ... ",Code: 5338845,2014.0,Used car,Assembled domestically,Crossover,Petrol  2.0 L,Xám,Kem,8 chỗ,5 doors,"100,000 Km"
Honda City RS 1.5 AT - 2021, Used car,515 Million VND,Hanoi,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5398781," *Domestic assembly car, màu xanh, Petrol engine 1.5 L, Automatic transmission, đã đi 43,000 km ... ",Code: 5398781,2021.0,Used car,Assembled domestically,Sedan,Petrol  1.5 L,Xanh,Black,5 seats,4 cửa,"43,000 Km"
Porsche Cayenne 3.6 V6 - 2016, Used car,1 Billion VND 850 Million VND,Hanoi,https://bonbanh.com/xe-porsche-cayenne-3.6-v6-2016-5348877," *Imported car, Black color, Petrol engine 3.6 L, Automatic transmission ... ",Code: 5348877,2016.0,Used car,Imported,SUV,Petrol  3.6 L,Black,Brown,5 seats,5 doors,0 Km
Toyota Venza 3.5 AWD - 2010, Used car,465 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-venza-3.5-awd-2010-5436308," *Imported car, White color, Petrol engine 3.5 L, Automatic transmission, đã đi 78,000 km ... ",Code: 5436308,2010.0,Used car,Imported,Crossover,Petrol  3.5 L,White,Kem,5 seats,5 doors,"78,000 Km"
Ford Ranger Sport 2.0L 4x4 AT - 2024, New car,799 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-ford-ranger-sport-2.0l-4x4-at-2024-5019543," *Domestic assembly car, màu xám, máy dầu 2.0 L, Automatic transmission ... ",Code: 5019543,2024.0,New car,Assembled domestically,Bán tải / Pickup,Dầu  2.0 L,Xám,Black,5 seats,4 cửa,
Mercedes Benz Maybach GLS 480 4Matic - 2023, New car,8 Billion VND 479 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-maybach-gls-480-4matic-2023-4518980," *Imported car, Black color, Petrol engine 3.0 L, Automatic transmission ... ",Code: 4518980,2023.0,New car,Imported,SUV,Petrol  3.0 L,Black,Black,4 chỗ,5 doors,
LandRover Range Rover Velar R-Dynamic SE 2.0 - 2021, New car,5 Billion VND 90 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-landrover-range_rover_velar-r-dynamic-se-2.0-2021-3082618," *Imported car, White color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 3082618,2021.0,New car,Imported,SUV,Petrol  2.0 L,White,Brown,5 seats,5 doors,
Mercedes Benz G class G63 AMG - 2023, New car,11 Billion VND 190 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-g_class-g63-amg-2023-4512889," *Imported car, Black color, Petrol engine 4.0 L, Automatic transmission ... ",Code: 4512889,2023.0,New car,Imported,SUV,Petrol  4.0 L,Black,Red,5 seats,5 doors,
Lexus ES 300h - 2023, New car,3 Billion VND 140 Million VND,Hanoi,https://bonbanh.com/xe-lexus-es-300h-2023-5240255," *Imported car, White color, Hybrid car 2.5 L, Automatic transmission ... ",Code: 5240255,2023.0,New car,Imported,Sedan,Hybrid  2.5 L,White,Màu khác,5 seats,4 cửa,
Mercedes Benz GLC 300 4Matic - 2023, New car,2 Billion VND 650 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2023-5112522," *Domestic assembly car, Red color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 5112522,2023.0,New car,Assembled domestically,SUV,Petrol  2.0 L,Red,Brown,5 seats,5 doors,
Toyota Land Cruiser 3.5 V6 - 2023, New car,4 Billion VND 286 Million VND,Hanoi,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-3849218," *Imported car, Black color, Petrol engine 3.4 L, Automatic transmission ... ",Code: 3849218,2023.0,New car,Imported,SUV,Petrol  3.4 L,Black,Kem,7 seats,5 doors,
Mercedes Benz Maybach S450 4Matic - 2023, New car,7 Billion VND 899 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-maybach-s450-4matic-2023-4757502," *Imported car, Black color, Petrol engine 3.0 L, Automatic transmission ... ",Code: 4757502,2023.0,New car,Imported,Sedan,Petrol  3.0 L,Black,Nhiều màu,5 seats,5 doors,
Toyota Prado GX 2.7 AT - 2007, Used car,369 Million VND,Hanoi,https://bonbanh.com/xe-toyota-prado-gx-2.7-at-2007-5429214," *Imported car, Black color, Petrol engine 2.7 L, Automatic transmission, đã đi 180,000 km ... ",Code: 5429214,2007.0,Used car,Imported,SUV,Petrol  2.7 L,Black,Xám,7 seats,5 doors,"180,000 Km"
Mercedes Benz GLC 300 4Matic - 2020, Used car,1 Billion VND 699 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2020-5439868," *Domestic assembly car, Black color, Petrol engine 2.0 L, Automatic transmission, đã đi 39,000 km ... ",Code: 5439868,2020.0,Used car,Assembled domestically,SUV,Petrol  2.0 L,Black,Black,5 seats,5 doors,"39,000 Km"
Mercedes Benz GLS 450 4Matic - 2023, New car,4 Billion VND 979 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-gls-450-4matic-2023-4236582," *Imported car, Black color, Petrol engine 3.0 L, Automatic transmission ... ",Code: 4236582,2023.0,New car,Imported,SUV,Petrol  3.0 L,Black,Black,7 seats,5 doors,
Mercedes Benz Maybach GLS 600 4Matic - 2024, New car,12 Billion VND 119 Million VND,Quảng Ninh,https://bonbanh.com/xe-mercedes_benz-maybach-gls-600-4matic-2024-4021588," *Imported car, màu ghi, Petrol engine 4.0 L, Automatic transmission ... ",Code: 4021588,2024.0,New car,Imported,SUV,Petrol  4.0 L,Ghi,Kem,4 chỗ,5 doors,
Lexus ES 250 F Sport - 2023, Used car,2 Billion VND 399 Million VND,Hanoi,https://bonbanh.com/xe-lexus-es-250-f-sport-2023-5278936," *Imported car, White color, Petrol engine 2.5 L, Automatic transmission, đã đi 16,000 km ... ",Code: 5278936,2023.0,Used car,Imported,Sedan,Petrol  2.5 L,White,Nhiều màu,5 seats,4 cửa,"16,000 Km"
Kia Carens EX 2.0 MT - 2009, Used car,235 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-kia-carens-ex-2.0-mt-2009-5324613," *Domestic assembly car, Silver color, Petrol engine 2.0 L, Manual transmission, đã đi 120,000 km ... ",Code: 5324613,2009.0,Used car,Assembled domestically,Crossover,Petrol  2.0 L,Silver,Kem,7 seats,5 doors,"120,000 Km"
Hyundai SantaFe 2.7L 4WD - 2008, Used car,279 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-hyundai-santafe-2.7l-4wd-2008-5441271," *Imported car, Silver color, Petrol engine 2.7 L, Automatic transmission, đã đi 155,000 km ... ",Code: 5441271,2008.0,Used car,Imported,SUV,Petrol  2.7 L,Silver,Ghi,7 seats,5 doors,"155,000 Km"
Mercedes Benz GL GL 350 CDI 4Matic - 2013, Used car,1 Billion VND 290 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-gl-gl-350-cdi-4matic-2013-5338878," *Imported car, Black color, máy dầu 3.0 L, Automatic transmission ... ",Code: 5338878,2013.0,Used car,Imported,SUV,Dầu  3.0 L,Black,Black,7 seats,5 doors,0 Km
Honda City RS 1.5 AT - 2021, Used car,510 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5394979," *Domestic assembly car, màu xanh, Petrol engine 1.5 L, Automatic transmission, đã đi 55,000 km ... ",Code: 5394979,2021.0,Used car,Assembled domestically,Sedan,Petrol  1.5 L,Xanh,Black,5 seats,4 cửa,"55,000 Km"
Toyota Innova 2.0E - 2016, Used car,365 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-innova-2.0e-2016-5401346," *Domestic assembly car, Silver color, Petrol engine 2.0 L, Manual transmission, đã đi 80,000 km ... ",Code: 5401346,2016.0,Used car,Assembled domestically,Crossover,Petrol  2.0 L,Silver,Kem,8 chỗ,5 doors,"80,000 Km"
Hyundai i10 Grand 1.2 AT - 2019, Used car,325 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-5254616," *Domestic assembly car, White color, Petrol engine 1.25 L, Automatic transmission, đã đi 70,000 km ... ",Code: 5254616,2019.0,Used car,Assembled domestically,Sedan,Petrol  1.25 L,White,Nhiều màu,5 seats,4 cửa,"70,000 Km"
Mitsubishi Xpander Premium 1.5 AT - 2023, New car,658 Million VND,Quảng Ninh,https://bonbanh.com/xe-mitsubishi-xpander-premium-1.5-at-2023-4437042," *Imported car, Black color, Petrol engine 1.5 L, Automatic transmission ... ",Code: 4437042,2023.0,New car,Imported,SUV,Petrol  1.5 L,Black,Black,7 seats,5 doors,
VinFast VF5 Plus - 2023, New car,468 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-vinfast-vf5-plus-2023-5060509," *Domestic assembly car, màu xám, xe điện , Automatic transmission ... ",Code: 5060509,2023.0,New car,Assembled domestically,SUV,Điện,Xám,Black,5 seats,5 doors,
Mazda CX5 Premium 2.0 AT - 2023, New car,839 Million VND,Thanh Hóa,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2023-5408485," *Domestic assembly car, Red color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 5408485,2023.0,New car,Assembled domestically,SUV,Petrol  2.0 L,Red,-,5 seats,5 doors,
Kia Carnival Signature 2.2D - 2023, New car,1 Billion VND 389 Million VND,Hanoi,https://bonbanh.com/xe-kia-carnival-signature-2.2d-2023-5091548," *Domestic assembly car, màu xanh, máy dầu 2.2 L, Automatic transmission ... ",Code: 5091548,2023.0,New car,Assembled domestically,Van/Minivan,Dầu  2.2 L,Xanh,Màu khác,7 seats,5 doors,
Lexus RX 350 - 2016, Used car,2 Billion VND 500 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-lexus-rx-350-2016-5421005," *Imported car, Black color, Petrol engine 3.5 L, Automatic transmission, đã đi 50,000 km ... ",Code: 5421005,2016.0,Used car,Imported,SUV,Petrol  3.5 L,Black,Kem,5 seats,5 doors,"50,000 Km"
Toyota Innova 2.0E - 2016, Used car,318 Million VND,Hanoi,https://bonbanh.com/xe-toyota-innova-2.0e-2016-4919276," *Domestic assembly car, màu vàng, Petrol engine 2.0 L, Manual transmission, đã đi 80,963 km ... ",Code: 4919276,2016.0,Used car,Assembled domestically,Crossover,Petrol  2.0 L,Vàng,Kem,8 chỗ,5 doors,"80,963 Km"
Ford Ranger XLS 2.2L 4x2 MT - 2016, Used car,378 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2016-5444523," *Imported car, màu vàng, máy dầu 2.2 L, Manual transmission ... ",Code: 5444523,2016.0,Used car,Imported,Bán tải / Pickup,Dầu  2.2 L,Vàng,Black,5 seats,4 cửa,0 Km
Honda CRV 2.4 AT - 2014, Used car,468 Million VND,Hanoi,https://bonbanh.com/xe-honda-crv-2.4-at-2014-5420876," *Domestic assembly car, White color, Petrol engine 2.4 L, Automatic transmission, đã đi 108,963 km ... ",Code: 5420876,2014.0,Used car,Assembled domestically,SUV,Petrol  2.4 L,White,Black,5 seats,5 doors,"108,963 Km"
LandRover Range Rover Autobiography LWB 5.0 - 2015, Used car,4 Billion VND 550 Million VND,Hanoi,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-2015-4600385," *Imported car, White color, Petrol engine 5.0 L, Automatic transmission, đã đi 50,000 km ... ",Code: 4600385,2015.0,Used car,Imported,SUV,Petrol  5.0 L,White,Brown,4 chỗ,5 doors,"50,000 Km"
Toyota Raize G 1.0 CVT - 2024, New car,492 Million VND,Hanoi,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2024-5387079," *Imported car, White color, Petrol engine 1.0 L, Automatic transmission ... ",Code: 5387079,2024.0,New car,Imported,SUV,Petrol  1.0 L,White,Black,5 seats,5 doors,
Toyota Land Cruiser 3.5 V6 - 2023, New car,4 Billion VND 550 Million VND,Hanoi,https://bonbanh.com/xe-toyota-land_cruiser-3.5-v6-2023-5240695," *Imported car, Black color, Petrol engine 3.4 L, Automatic transmission ... ",Code: 5240695,2023.0,New car,Imported,SUV,Petrol  3.4 L,Black,Black,7 seats,5 doors,
Mercedes Benz C class C250 CGI - 2009, Used car,340 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-c_class-c250-cgi-2009-4379246," *Domestic assembly car, màu xanh, Petrol engine 1.8 L, Automatic transmission, đã đi 90,000 km ... ",Code: 4379246,2009.0,Used car,Assembled domestically,Sedan,Petrol  1.8 L,Xanh,Black,5 seats,4 cửa,"90,000 Km"
Mercedes Benz GLC 300 4Matic - 2022, Used car,2 Billion VND 399 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-5415490," *Domestic assembly car, White color, Petrol engine 2.0 L, Automatic transmission, đã đi 30 km ... ",Code: 5415490,2022.0,Used car,Assembled domestically,SUV,Petrol  2.0 L,White,Black,5 seats,5 doors,30 Km
Ford EcoSport Titanium 1.0 EcoBoost - 2020, Used car,465 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-ford-ecosport-titanium-1.0-ecoboost-2020-5426929," *Domestic assembly car, màu xám, Petrol engine 1.0 L, Automatic transmission, đã đi 75,000 km ... ",Code: 5426929,2020.0,Used car,Assembled domestically,SUV,Petrol  1.0 L,Xám,Black,5 seats,5 doors,"75,000 Km"
Haval H6 HEV - 2023, New car,886 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-haval-h6-hev-2023-5176152," *Imported car, Red color, Hybrid car 1.5 L, Automatic transmission ... ",Code: 5176152,2023.0,New car,Imported,SUV,Hybrid  1.5 L,Red,Nhiều màu,5 seats,5 doors,
